Library Element,AIE_VARIANT,UUT_KERNEL,TT_DATA,TT_TWIDDLE,TP_POINT_SIZE,TP_CASC_LEN,TP_NUM_FRAMES,TP_FFT_NIFFT,TP_SHIFT,TP_API,TP_RND,TP_SAT,TP_SSR,COMPILE,SIM,FUNC,Latency,Throughput,cycleCountAvg,throughputCycleCount,NUM_BANKS,NUM_AIE,DATA_MEMORY,PROGRAM_MEMORY
dft,AIE,dft,cint16,cint16,128,4,8,0,0,0,0,0,1,1,1,1,12470,246,5158,248,22,4,86714,1808 1808 1808 1896
dft,AIE,dft,cint16,cint16,128,1,8,0,0,0,0,0,2,1,1,1,20205,146,8696,147,16,2,92512,1896 1896
dft,AIE,dft,cint16,cint16,128,2,8,0,0,0,0,0,2,1,1,1,11043,271,4674,273,23,4,94908,1808 1880 1808 1880
dft,AIE,dft,cint16,cint16,128,4,8,0,0,0,0,0,2,1,1,1,6406,481,2630,487,36,8,99700,1808 1808 1808 1896 1808 1808 1808 1896
dft,AIE,dft,cint16,cint16,128,1,8,0,0,0,0,0,4,1,1,1,9539,298,4263,301,24,4,111296,2324 2324 2324 2324
dft,AIE,dft,cint16,cint16,128,2,8,0,0,0,0,0,4,1,1,1,5485,536,2355,543,39,8,116088,2252 1896 1896 2252 1896 2252 2252 1896
dft,AIE,dft,cint16,cint16,128,4,8,0,0,0,0,0,4,1,1,1,3474,911,1409,908,67,16,125672,2252 1880 1808 1808 1808 1808 1880 2252 2252 1880 1808 1808 1808 1808 1880 2252
dft,AIE,dft,cint16,cint16,128,1,8,0,0,0,0,0,8,1,1,1,4578,573,2184,587,38,8,148864,1876 1876 1876 1876 1876 1876 1876 1876
dft,AIE,dft,cint16,cint16,128,2,8,0,0,0,0,0,8,1,1,1,2662,1057,1188,1077,74,16,158448,1788 1860 1860 1788 1788 1860 1860 1788 1788 1860 1860 1788 1788 1860 1860 1788
dft,AIE,dft,cint16,cint16,128,4,8,0,0,0,0,0,8,1,1,1,1696,1841,669,1913,139,32,177616,1772 1860 1772 1772 1772 1772 1860 1772 1772 1860 1772 1772 1772 1772 1860 1772 1772 1772 1860 1772 1772 1860 1772 1772 1772 1860 1772 1772 1772 1772 1860 1772
dft,AIE,dft,cint16,cint16,16,1,1,0,0,0,0,0,1,1,1,1,499,192,61,327,6,1,2480,1774
dft,AIE,dft,cint16,cint16,16,2,1,0,0,0,0,0,1,1,1,1,752,222,59,338,9,2,3678,1490 1606
dft,AIE,dft,cint16,cint16,16,1,1,0,0,0,0,0,2,1,1,1,426,228,45,444,11,2,3808,1582 1582
dft,AIE,dft,cint16,cint16,16,2,1,0,0,0,0,0,2,1,1,1,740,296,46,434,18,4,6204,1384 1514 1384 1514
dft,AIE,dft,cint16,cint16,16,1,16,0,0,0,0,0,1,1,1,1,1251,550,541,591,6,1,6320,2198
dft,AIE,dft,cint16,cint16,16,2,16,0,0,0,0,0,1,1,1,1,800,930,314,1019,9,2,7518,1712 1846
dft,AIE,dft,cint16,cint16,16,1,16,0,0,0,0,0,2,1,1,1,637,984,285,1122,12,2,9568,1812 1812
dft,AIE,dft,cint16,cint16,16,2,16,0,0,0,0,0,2,1,1,1,530,1376,201,1592,18,4,11964,1632 1764 1632 1764
dft,AIE,dft,cint16,cint16,16,1,2,0,0,0,0,0,1,1,1,1,437,293,93,430,6,1,2736,2198
dft,AIE,dft,cint16,cint16,16,2,2,0,0,0,0,0,1,1,1,1,536,372,76,526,9,2,3934,1712 1846
dft,AIE,dft,cint16,cint16,16,1,2,0,0,0,0,0,2,1,1,1,341,385,61,655,11,2,4192,1812 1812
dft,AIE,dft,cint16,cint16,16,2,2,0,0,0,0,0,2,1,1,1,480,426,61,655,18,4,6588,1536 1644 1536 1644
dft,AIE,dft,cint16,cint16,16,1,32,0,0,0,0,0,1,1,1,1,2275,584,1053,607,6,1,10416,2198
dft,AIE,dft,cint16,cint16,16,2,32,0,0,0,0,0,1,1,1,1,1350,1038,586,1092,10,2,11614,1712 1846
dft,AIE,dft,cint16,cint16,16,1,32,0,0,0,0,0,2,1,1,1,1331,911,658,1182,11,2,15712,1812 1812
